timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622924177050,507,OpenPage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,4029,940,1,1,null,0,50,13
1622924177096,280,OpenPage-75,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1016,418,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,280,0,13
1622924177378,227,OpenPage-76,200,Ok,jp@gc - OrderTicket 1-1,text,true,,3013,522,1,1,http://localhost:8090/WebTours/nav.pl?in=home,227,0,0
1622924177608,662,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,3688,2041,1,1,null,0,4,0
1622924177609,226,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-1,text,true,,817,742,1,1,http://localhost:8090/WebTours/login.pl,226,0,0
1622924177836,219,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1142,647,1,1,http://localhost:8090/WebTours/login.pl?intro=true,219,0,0
1622924178056,217,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,652,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,217,0,0
1622924178274,675,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,6899,2005,1,1,null,0,422,0
1622924178274,216,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-1,text,true,,735,666,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,216,0,0
1622924178491,219,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,669,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,219,0,0
1622924179130,240,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-1,text,true,,4435,670,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,240,0,0
1622924179371,224,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,2611,1007,1,1,null,0,2006,0
1622924181377,224,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-1,text,true,,2611,1007,1,1,http://localhost:8090/WebTours/reservations.pl,224,0,0
1622924181602,254,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,453428,312,1,1,null,0,0,163
1622924181602,254,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-1,text,true,,453428,312,1,1,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,184,0,163
1622924181857,231,RndOrderContinue-118,200,Ok,jp@gc - OrderTicket 1-1,text,true,,5597,900,1,1,http://localhost:8090/WebTours/reservations.pl,228,0,0
1622924182087,1,RndOrderContinue-118-0,200,OK,jp@gc - OrderTicket 1-1,text,true,,2638,0,1,1,null,0,0,0
1622924181857,231,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,5597,900,1,1,null,228,0,0
1622924182088,228,PaymentDetailsContinue,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - OrderTicket 1-1,,false,,2803,1076,1,1,null,0,49,0
1622924182136,228,PaymentDetailsContinue-119,200,Ok,jp@gc - OrderTicket 1-1,text,false,Test failed: text expected to contain /  <b> $802 </b>/,2803,1076,1,1,http://localhost:8090/WebTours/reservations.pl,228,0,0
1622924182365,433,OpenPage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,4023,1141,1,1,null,0,6,1
1622924182370,215,OpenPage-75,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1016,619,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,215,0,1
1622924182586,218,OpenPage-76,200,Ok,jp@gc - OrderTicket 1-1,text,true,,3007,522,1,1,http://localhost:8090/WebTours/nav.pl?in=home,218,0,0
1622924182805,869,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,3687,2037,1,1,null,0,1,0
1622924182805,231,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-1,text,true,,816,740,1,1,http://localhost:8090/WebTours/login.pl,231,0,0
1622924183037,216,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1142,646,1,1,http://localhost:8090/WebTours/login.pl?intro=true,216,0,0
1622924183253,422,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,651,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,422,0,0
1622924183675,863,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,6899,2002,1,1,null,0,2,0
1622924183676,420,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-1,text,true,,735,665,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,420,0,0
1622924184096,224,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,668,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,224,0,0
